Date,Hour,Car_lat,Car_lon,harpnum,,
'19/07/2010','9:16',-21.7,204.7,s,,s: esta en el limbo
'20/07/2010','6:01',-20,220.7,s,,
'20/07/2010','9:31',-22.7,205.1,s,,
'23/07/2010','12:00',-20.8,219.4,92,,
'02/08/2010','16:30',-25.6,211.3,-,,
'10/08/2010','4:35',-23.2,211.1,-,,
'15/08/2010','5:50',-27,198.4,-,,
'18/08/2010','1:30',-26.9,203.1,135,,
'21/08/2010','14:45',-25.6,197.2,135,,
'27/08/2010','11:30',-25.4,196.1,s,,
'28/08/2010','16:45',-21.4,216.9,s,,
'30/08/2010','4:15',-18.7,204.2,-,,
'30/08/2010','7:30',-20.4,207.8,-,,
'30/08/2010','14:20',-20,202.4,-,,
'30/08/2010','17:30',-21.3,211.5,-,,
'30/08/2010','22:10',-19.8,202.1,-,,
'31/08/2010','0:20',-21.5,211.9,-,,
'31/08/2010','2:30',-19.8,201.9,-,,
'31/08/2010','5:45',-20.9,201.4,-,,
'31/08/2010','19:10',-19,201,-,,
'31/08/2010','20:50',-21.5,211.5,-,,
'01/09/2010','6:30',-22.5,211.2,-,,
'01/09/2010','9:45',-21.9,211.2,--,,
'01/09/2010','12:00',-21.7,209.7,-,,
'01/09/2010','13:30',-21.7,212.1,-,,
'01/09/2010','15:10',-22.6,210.4,-,,
'01/09/2010','19:15',-20,198.9,-,,
'01/09/2010','21:45',-21.4,212.5,-,,
'02/09/2010','9:10',-21.9,207.2,-,,
'05/09/2010','7:45',-19.1,214,-,,
'06/09/2010','0:05',-20.5,201.9,-,,
'08/09/2010','10:30',-19.5,196.3,-,,
'08/09/2010','23:45',-20.4,206.4,-,,
'15/09/2010','14:10',-20.2,214.5,175,,
'16/09/2010','9:00',-20.4,214.5,175,,
'17/09/2010','0:15',-20.2,214.2,175,,
'17/09/2010','3:45',-18.6,199.7,175,,
'08/10/2010','9:10',-21,208.3,s,,
'10/10/2010','20:03',-20.3,202.6,211,,
'11/10/2010','9:00',-21,216.3,211,,
'15/10/2010','9:45',-24,235.8,211,,
'16/10/2010','19:30',-19.4,212.1,211,,
'17/10/2010','4:00',-9,198.1,211,,
'17/10/2010','9:00',-18.5,205.8,211,,
'18/10/2010','16:30',-21.2,207.4,s,,
'19/10/2010','7:00',-18.2,204.2,s,,
'19/10/2010','16:10',-15.9,222.2,s,,
'19/10/2010','18:45',-19.4,209.8,s,,
'19/10/2010','23:10',-10.4,214,s,,
'20/10/2010','11:55',-18.2,205.5,s,,
'21/10/2010','23:30',-31.1,190.3,-,,
'22/10/2010','1:00',-27.7,197.6,-,,
'22/10/2010','5:00',-25.7,201.5,-,,
'23/10/2010','1:00',-18.7,206.9,-,,
'23/10/2010','4:30',-19.5,205.2,-,,
'31/10/2010','10:00',-19,204.4,-,,
'02/11/2010','9:50',-19.9,211.2,-,,
'03/11/2010','2:00',-13.8,223.3,-,,
'03/11/2010','6:05',-18.9,212,-,,
'03/11/2010','9:10',-17.8,210.9,-,,
'03/11/2010','12:25',-19.8,208.4,-,,
'05/11/2010','14:30',-19.6,209.1,s,,
'06/11/2010','1:25',-30,187.9,s,,
'06/11/2010','15:40',-19.8,207.1,s,,
'10/11/2010','14:20',-20.8,190.8,245,,
'10/11/2010','16:45',-21.5,191.5,245,,
'11/11/2010','2:15',-23.4,189.5,245,,
'11/11/2010','5:15',-21.7,202.6,245,,
'11/11/2010','7:30',-24.1,190.8,245,,
'11/11/2010','10:15',-23.5,189.2,245,,
'11/11/2010','13:15',-24.5,191,245,,
'11/11/2010','16:15',-21.6,189.8,245,,
'12/11/2010','19:30',-24.3,191.6,245,,
'12/11/2010','1:45',-23.9,188.8,245,,
'12/11/2010','4:00',-21,189.9,245,,
'12/11/2010','8:10',-23.6,192.5,245,,
'12/11/2010','9:15',-23.9,189.5,245,,
'12/11/2010','11:45',-20.5,190.2,245,,
'12/11/2010','13:45',-21.6,189.6,245,,
'12/11/2010','13:45',-21.5,205,245,,
'13/11/2010','2:00',-20.1,191.5,245,,
'13/11/2010','9:30',-21.9,193.8,245,,
'13/11/2010','11:45',-22.2,189.6,245,,
'13/11/2010','14:15',-23.3,195.9,245,,
'14/11/2010','0:00',-22.9,194.8,245,,
'14/11/2010','3:15',-21.2,194.6,245,,
'14/11/2010','17:30',-21.8,190.8,245,,
'15/11/2010','14:45',-22.2,189.7,s,,
,,,,,,
,,,,36 eventos a analizar con los datos bajados ,,
